Primary Name,Secondary Name
difficile infection,difficile colitis
calciphylaxis,callus corn
cancer,cancer acute lymphocytic leukemia
canker sore,cancer anal
carbon monoxide poisoning,cancer basal cell
carcinoid syndrome,cancer bladder
carcinoid tumor,cancer bone
carcinoma unknown primary,cancer breast
cardiogenic shock,cancer carcinoid tumor
cardiomyopathy,cancer cervical
carotid artery disease,cancer chronic lymphocytic leukemia
carpal tunnel syndrome,cancer chronic myelogenous leukemia
castleman disease,cancer colon
cataract,cancer endometrial
cavernous malformation,cancer esophageal
cavity tooth decay,cancer eye melanoma
celiac disease,cancer gallbladder
cellulite,cancer gastric
cellulitis,cancer hairy cell leukemia
central nervous system vascular malformation,cancer hodgkin disease
central sleep apnea,cancer hurthle cell
cerebral palsy,cancer inflammatory breast
cervical cancer,cancer kidney
cervical dystonia,cancer leukemia
cervical spondylosis,cancer lip
cervicitis,cancer liver
chaga disease,cancer lung
disease,cancer male breast
chemo brain,cancer merkel cell
chest pain,cancer mesothelioma
chiari malformation,cancer mouth
chickenpox,cancer multiple myeloma
chilblain,cancer nasopharyngeal
child abuse,cancer neuroblastoma
childhood apraxia speech,cancer lymphoma
childhood asthma,cancer oral
childhood obesity,cancer ovarian
childhood schizophrenia,cancer pancreatic
chlamydia trachomatis,cancer paraneoplastic syndrome
cholangiocarcinoma bile duct cancer,cancer prostate
cholecystitis,cancer rectal
cholera,cancer retinoblastoma
cholestasis pregnancy,cancer skin
chondrosarcoma,cancer soft tissue sarcoma
chordoma,cancer squamous cell
choroid plexus carcinoma,cancer stomach
chronic cough,cancer testicular
chronic daily headache,cancer throat
chronic exertional compartment syndrome,cancer thyroid
chronic granulomatous disease,cancer uterine
chronic hive,cancer vagina
chronic kidney disease,cancer vulvar
chronic lymphocytic leukemia,cancer wilms tumor
chronic myelogenous leukemia,candidiasis oral
chronic pelvic pain,candidiasis vaginal
chronic sinusitis,carbuncle boil
chronic traumatic encephalopathy,cardiac arrest sudden
syndrome,cardiac ischemia
cirrhosis,cardiomegaly
claudication,cardiomyopathy dilated
cleft lip cleft palate,cardiomyopathy hypertrophic
clubfoot,cardiospasm
cluster headache,cardiovascular disease
coarctation aorta,carotid artery stenosis
cold sore,carotid insufficiency
cold urticaria,ca
colic,cdh
colon cancer,celiac artery compression
colon polyp,celiac artery compression syndrome
color blindness,celiac axis syndrome
coma,celiac trunk compression syndrome
common cold,cello
common cold baby,central auditory processing disorder
common variable immunodeficiency,cercarial dermatitis
common wart,cerebral aneurysm
complex regional pain syndrome,cerebrospinal fluid leak
complicated grief,cerebrovascular accident
compulsive gambling,cerumen impaction
compulsive sexual behavior,cervical osteoarthritis
concussion,cervical pain
congenital adrenal hyperplasia,chd
congenital diaphragmatic hernia cdh,chemical dependency
congenital heart defect child,chest wall pain
congenital heart disease adult,child maltreatment
congenital mitral valve anomaly,chlamydia
congenital myasthenic syndrome,cholangitis primary sclerosing
conjoined twin,chorea huntington
constipation,chronic adrenal insufficiency
constipation child,chronic compartment syndrome
contact dermatitis,chronic fatigue syndrome
copd,chronic kidney failure
corn callus,chronic lymphocytic thyroiditis
coronary artery disease,chronic obstructive pulmonary disease
coronavirus disease,chronic renal failure
corticobasal degeneration corticobasal syndrome,chronic vulvar pain
costochondritis,cjd
cough headache,ckd
cradle cap,syndrome
craniopharyngioma,clinical depression
craniosynostosis,cll
disease,clostridioides difficile infection
crohn disease,clostridium difficile infection
croup,coccidioidomycosis
cryoglobulinemia,cold allergy
csf leak cerebrospinal fluid leak,cold exposure
cushing syndrome,cold common
cutaneous lymphoma,colitis ischemic
cutaneous lymphoma,colitis microscopic
cyclic vomiting syndrome,colitis pseudomembranous
cyclothymia cyclothymic disorder,colitis ulcerative
cystic fibrosis,collapsed lung
cystitis,collapsed lung
cytomegalovirus cmv infection,colonic ischemia
dandruff,daytime sleepiness
de quervain tenosynovitis,dci
deep vein thrombosis dvt,ddh
dehydration,decreased tear production
delayed ejaculation,deficient color vision
delayed sleep phase,degenerative arthritis
delirium,delayed gastric emptying
dementia,delayed sleep phase syndrome
dengue fever,delayed phase sleep disorder
disorder,dementia frontotemporal
depression major depressive disorder,dementia lewy body
dermatitis,dementia vascular
dermatofibrosarcoma protuberans,dengue hemorrhagic fever
dermatographia dermatographism,dependence nicotine
dermatomyositis,depression postpartum
desmoid tumor,depression teen
desmoplastic small round cell tumor,dermatitis atopic
deviated septum,dermatitis cercarial
diabetes,dermatitis contact
diabetes insipidus,dermatitis scratch
diabetic coma,dermatitis seborrheic
diabetic hypoglycemia,dermatographism
diabetic ketoacidosis,dermatophytosis
diabetic nephropathy kidney disease,detached retina
diabetic neuropathy,developmental dysplasia hip
diabetic retinopathy,devic disease
diaper rash,dfsp
diarrhea,diabetes mellitus
digeorge syndrome deletion syndrome,diabetes gestational
dilated cardiomyopathy,diabetes type
diphtheria,diabetes type child
dislocated shoulder,diabetes type
dissociative disorder,diabetes type child
diverticulitis,diarrhea
dizziness,diarrhea traveler
double uterus,difficulty speaking
right ventricle,difficulty swallowing
syndrome,dissecting aneurysm
dressler syndrome,drop foot
drug addiction substance use disorder,dsps
drug allergy,dsrct
dry eye,dswpd
dry macular degeneration,dunbar syndrome
dry mouth,dvt
dry skin,dysmenorrhea
dry socket,dyspareunia
ductal carcinoma situ dci,dyspepsia
dumping syndrome,dysphonia
dupuytren contracture,dysrhythmias
dural arteriovenous fistula,dysthymia
dust mite allergy,dystonia cervical
