Primary Name,Secondary Name
lactose intolerance,lactase deficiency
laryngitis,lactation mastitis
latex allergy,lassa fever
lazy eye amblyopia,lateral elbow tendinopathy
lead poisoning,lateral epicondylitis
left ventricular hypertrophy,lateral epicondylosis
disease,lcis
legionnaire disease,leg fracture
leiomyosarcoma,legionellosis
leukemia,lentigo solar
leukoplakia,leukemia acute lymphocytic
lewy body dementia,leukemia acute myelogenous
louse,leukemia chronic lymphocytic
lichen planus,leukemia chronic myelogenous
lichen sclerosus,leukemia general
lip cancer,leukemia hairy cell
lipoma,louse body
liposarcoma,lichen planus oral
listeria infection,lichen simplex chronicus
liver cancer,lip cancer
liver disease,lipodystrophy intestinal
liver hemangioma,listeriosis
lobular carcinoma situ lcis,liver failure acute
long qt syndrome,liver spot
low blood pressure hypotension,liver enlarged
low sex drive woman,localized scleroderma
low sperm count,lockjaw
lung cancer,loss bladder control
lupus,lou gehrig disease
lupus nephritis,low blood sugar
lyme disease,low body temperature
lymphedema,low platelet count
lymphoma,low testosterone
lynch syndrome,priapism
malaria,macular degeneration dry
male breast cancer,macular degeneration wet
male hypogonadism,mad cow disease
male infertility,major depressive disorder
malignant hyperthermia,malignant fibrous histiocytoma
malignant peripheral nerve sheath tumor,malignant mesothelioma
mammary duct ectasia,mallet toe hammertoe
marfan syndrome,mals
mastitis,illness
mcad deficiency,masld
measles,mastalgia
median arcuate ligament syndrome mals,md
medication overuse headache,
medulloblastoma,measles german
melanoma,medial epicondylitis
meniere disease,medial tibial stress syndrome
meningioma,mediterranean anemia
meningitis,megacolon
menopause,megaloblastic anemia
menstrual cramp,melanoma eye
mental illness,men
meralgia paresthetica,meniscus tear
merkel cell carcinoma,menorrhagia
mesenteric ischemia,metabolic steatotic liver disease
mesenteric lymphadenitis,metastatic prostate cancer
mesothelioma,staphylococcus aureus infection
metabolic syndrome,mg
metachromatic leukodystrophy,mgus
metatarsalgia,microscopic hematuria
microcephaly,miliaria
microscopic colitis,milk intolerance
migraine,mog disorder
migraine aura,mogad
mild cognitive impairment mci,mono
milk allergy,m
miscarriage,msa
mitral valve disease,mucocutaneous lymph node syndrome
mitral valve prolapse,multiple endocrine neoplasia type
mitral valve regurgitation,myocardial infarction
mitral valve stenosis,myopia
paget disease bone,pad
paget disease breast,paes
painful intercourse dyspareunia,pain back
pancreatic cancer,pain chest
pancreatic cyst,pain wrist
pancreatic neuroendocrine tumor,painful bladder syndrome
pancreatitis,painful period
panic attack panic disorder,palsy bell
paraganglioma,palsy cerebral
paraneoplastic syndrome nervous system,palsy facial
parkinson disease,pancreas inflammation
parotid tumor,papvr
partial anomalous pulmonary venous return,paraneoplastic neurological disorder
parvovirus infection,paraneoplastic neurological syndrome
patellar tendinitis,partial anomalous pulmonary venous connection
patellofemoral pain syndrome,pathological gambling
patent ductus arteriosus pda,pathological laughter cry
patent foramen ovale,pathological stealing
peanut allergy,pba
pectus excavatum,pcos
pediatric brain tumor,pda
pediatric obstructive sleep apnea,pediculosis capitis
pediatric white blood cell disorder,pelvic pain chronic
pelvic inflammatory disease pid,pelvic support problem uterine prolapse
pelvic organ prolapse,perforated eardrum
pemphigus,pericardial inflammation
penicillin allergy,periodontal disease gingivitis
peptic ulcer,periodontal disease periodontitis
pericardial effusion,peripheral vascular disease
pericarditis,pernicious anemia
perimenopause,pernio
periodontitis,peroneal muscular atrophy
peripheral artery disease pad,personality disorder antisocial
peripheral nerve injury,personality disorder borderline
peripheral nerve tumor,personality disorder narcissistic
peripheral neuropathy,personality disorder schizoid
peritonitis,personality disorder schizotypal
persistent depressive disorder,pertussis
persistent symptom syndrome,pe planus
personality disorder,petit mal seizure
pet allergy,pharyngitis
peyronie disease,phlebitis
phenylketonuria pku,phobia social
pheochromocytoma,pick disease
pilonidal cyst,pid
pinched nerve,pile
pineoblastoma,pilonidal dimple
pink eye conjunctivitis,pimple
pinworm infection,pituitary adenoma
pituitary tumor,pituitary insufficiency
pityriasis rosea,pityriasis versicolor
placenta accreta,pkd
placenta previa,pku
placental abruption,plantar neuroma
plague,pleuritis
plantar fasciitis,pls
plantar wart,polyp colon
pleurisy,polyp endometrial
pneumonia,polyp nasal
pneumonitis,polyp stomach
pneumothorax,polyp uterine
poem syndrome,pompholyx
poison ivy rash,poor color vision
polio,popliteal cyst
polycystic kidney disease,injury syndrome
polycystic ovary syndrome pcos,cognitive impairment
polycythemia vera,syndrome
polyhydramnios,posterior prolapse
polymorphous light eruption,postmyocardial infarction syndrome
polymyalgia rheumatica,postural hypotension
polymyositis,syndrome
popliteal artery aneurysm,preexcitation syndrome
popliteal artery entrapment,hypertension
porphyria,premature ovarian failure
posterior cortical atrophy,premature ovarian insufficiency
posterior vaginal prolapse rectocele,premature puberty
postherpetic neuralgia,premenstrual syndrome
postpartum depression,presbycusis
postpartum preeclampsia,pressure sore
syndrome,pressure ulcer
stress disorder ptsd,prickly heat
pain syndrome,primary adrenal insufficiency
pouchitis,primary biliary cirrhosis
syndrome,primary polycythemia
precocious puberty,prolapse mitral valve
prediabetes,prolapsed bladder
preeclampsia,prolapsed uterus
premature birth,prostate gland enlargement
premature ejaculation,pruritis ani
premature ventricular contraction pvc,pruritus
premenstrual syndrome pm,ptsd
presbyopia,puffy eye
prescription drug abuse,pvc
preterm labor,pvd
priapism,pvps
primary biliary cholangitis,pyelonephritis
