Primary Name,Secondary Name
kaposi sarcoma,keratoconjunctivitis sicca
kawasaki disease,keratosis actinic
keloid scar,keratosis seborrheic
keratitis,ketoacidosis diabetic
keratoconus,kidney disease chronic
keratosis pilaris,kidney failure acute
kidney cancer,kidney failure chronic
kidney cyst,kissing disease
kidney infection,klatskin tumor
kidney stone,kp
rabies,ra
radiation enteritis,rapid gastric emptying
radiation sickness,rapid heartbeat
ramsay hunt syndrome,rash poison ivy
raynaud disease,reading disability specific
reactive arthritis,rebound headache
reactive attachment disorder,rectal inflammation
rectal cancer,rectal itching
rectal prolapse,rectal ulcer
rectovaginal fistula,recurrent oral ulcer
recurrent breast cancer,red eye
rem sleep behavior disorder,reflux bile
renal artery stenosis,reflux vesicoureteral
residual limb pain,regurgitation aortic valve
respiratory syncytial virus rsv,regurgitation mitral valve
restless leg syndrome,reiter syndrome
retinal detachment,renal cancer
retinal disease,renal failure acute
retinoblastoma,renal lithiasis
retractile testicle,retinopathy diabetic
retrograde ejaculation,rhinitis allergic
rett syndrome,rhinitis nonallergic
reye syndrome,rhinitis vasomotor
rhabdomyosarcoma,rib fracture
rheumatic fever,rift valley fever
rheumatoid arthritis,ringing ear
rickets,ringworm foot
ringworm body,rls
ringworm scalp,road rage
rosacea,round back
roseola,rsv
rotator cuff injury,rubeola
rotavirus,runner knee
rubella,ruptured disk
sacral dimple,sad
sacroiliitis,salmonellosis
salivary gland tumor,sarcoma bone cancer
salmonella infection,sarcoma soft tissue
sarcoidosis,sbbo
sarcoma,scad
scabies,scalded mouth syndrome
scarlet fever,scarlatina
schizoaffective disorder,schizophrenia adolescent
schizoid personality disorder,schizophrenia childhood
schizophrenia,schizophrenia juvenile
schizotypal personality disorder,sci
schwannoma,sclerosing cholangitis
sciatica,sclerosis multiple
scleroderma,sclerosis systemic
sclerosing mesenteritis,seasonal allergy
scoliosis,sebaceous cyst
scorpion sting,secondary brain cancer
scrotal mass,seid
seasonal affective disorder sad,seizure disorder
sebaceous carcinoma,seizure absence
seborrheic dermatitis,seizure febrile
seborrheic keratosis,seizure grand mal
secondary hypertension,seizure petit mal
seizure,seizure temporal lobe
selective iga deficiency,self harming
,septal defect atrial
separation anxiety disorder,septal defect atrioventricular
sepsis,septal defect ventricular
septic arthritis,severe acute respiratory syndrome
serotonin syndrome,severe brain injury coma
severe acute respiratory syndrome sars,sexual dysfunction female
sex headache,sexual obsession
sexually transmitted disease std,shoulder dislocation
shaken baby syndrome,syndrome
shellfish allergy,sibo
shigella infection,sids
shin splint,sin nombre virus infection
shingle,sinusitis acute
short bowel syndrome,sinusitis chronic
sick sinus syndrome,sjs
sickle cell anemia,skin cancer melanoma
sinus headache,skin writing
sjogren syndrome,skin itchy
skin cancer,skipped heartbeat
sleep apnea,slapped cheek disease
sleep disorder,sleep apnea child obstructive
sleep terror night terror,sleep apnea central
sleepwalking,sleep apnea obstructive
small bowel cancer,sleep terror
small bowel prolapse enterocele,sleepiness daytime
small intestinal bacterial overgrowth sibo,sleeplessness
small vessel disease,slipped disk
smallpox,slow heartbeat
snoring,small bowel bacterial overgrowth
social anxiety disorder social phobia,small bowel prolapse
soft palate cancer,small intestine prolapse
soft tissue sarcoma,solar keratosis
solitary fibrous tumor,solar lentigo
solitary rectal ulcer syndrome,somnambulism
somatic symptom disorder,spasmodic torticollis
sore throat,specific reading disability
specific phobia,spinal curvature
spermatocele,splenomegaly
spider bite,spondylosis cervical
spina bifida,stammering
spinal arteriovenous malformation avm,std
spinal cord injury,syndrome
spinal cord tumor,syndrome
spinal headache,stenosing tenosynovitis
spinal stenosis,stenosis aortic valve
spontaneous coronary artery dissection scad,stenosis mitral valve
sprained ankle,stenosis pulmonary valve
sprain,stenosis pyloric
squamous cell carcinoma skin,stenosis spinal
stage prostate cancer,sting bee
staph infection,sting jellyfish
syndrome,sting scorpion
stomach cancer,stomach flu
stomach polyp,stomach pain nonulcer
strep throat,stomatodynia
stress fracture,stool holding
stress incontinence,strawberry hemangioma
stretch mark,stress cardiomyopathy
stroke,stump pain
stuttering,subfertility
stye sty,substance abuse disorder
subarachnoid hemorrhage,substance use disorder
subconjunctival hemorrhage broken blood vessel eye,suicide
sudden cardiac arrest,sun poisoning
sudden infant death syndrome sids,sunken chest
suicide suicidal thought,supranuclear palsy
sun allergy,svt
sunburn,sweating abnormally excessive
supraventricular tachycardia,swelling
suspicious breast lump,syndrome x
sweating body odor,synostosis
swimmer ear,systemic exertional intolerance disease
swimmer itch,systemic lupus erythematosus
swollen knee,systemic sclerosis
