Primary Name,Secondary Name
coli,ear infection outer ear
ear infection middle ear,eardrum ruptured
earwax blockage,early puberty
eating disorder,eating disorder anorexia
ebstein anomaly,eating disorder binge eating
ectopic pregnancy,eating disorder bulimia
ectropion,ectopic heartbeat
edema,eczema
egg allergy,eczema dyshidrotic
syndrome,ed
ehrlichiosis anaplasmosis,edema pulmonary
eisenmenger syndrome,embolism pulmonary
elevated blood pressure,end stage kidney failure
embryonal tumor,endocardial cushion defect
emphysema,endometrial polyp
encephalitis,enlarged prostate
encopresis,enlarged thyroid
endocarditis,eosinophilic granulomatosis polyangiitis
endometrial cancer,epicondylitis lateral
endometriosis,epilepsy frontal lobe
renal disease,erythema infectiosum
enlarged breast men gynecomastia,escherichia coli infection
enlarged heart,esophageal achalasia
enlarged liver,excess facial hair woman
enlarged spleen splenomegaly,excess growth hormone
entropion,excessive daytime sleepiness
eosinophilic esophagitis,excessive menstrual bleeding
ependymoma,external otitis
epidermoid cyst,extrasystole
epidermolysis bullosa,eyelid inflammation
factitious disorder,facial hair excess woman
factor v leiden,facial palsy
familial adenomatous polyposis,fallen arch
familial hypercholesterolemia,fallot tetralogy
familial mediterranean fever,familial paroxysmal peritonitis
farsightedness,fap
febrile seizure,fever blister
fecal incontinence,fever valley
female infertility,fever viral hemorrhagic
female sexual dysfunction,fh
fetal alcohol syndrome,fibroid uterine
fetal macrosomia,fibrosis cystic
fever,fibrosis interstitial pulmonary
fibroadenoma,fibrosis pulmonary
fibrocystic breast,fifth disease
fibromuscular dysplasia,filovirus
fibromyalgia,fistula arteriovenous
flatfoot,flavivirus
floor mouth cancer,floater
focal segmental glomerulosclerosis fsgs,floppy valve syndrome
folliculitis,flu
food allergy,flu swine
food poisoning,fluid around heart
foot drop,fnd
frontal lobe seizure,folate deficiency anemia
frontotemporal dementia,food allergy egg
frostbite,food allergy milk
frozen shoulder,illness
fuchs dystrophy,foot fracture
functional dyspepsia,foramen ovale
functional neurologic disorder,fracture arm
waldenstrom macroglobulinemia,wart common
wet macular degeneration,wart genital
wheat allergy,wart plantar
whiplash,wart venereal
whipple disease,water knee
whooping cough,wegener granulomatosis
wilms tumor,wermer syndrome
wilson disease,wermer syndrome
wpw syndrome,white blood cell disorder child
wrinkle,whitehead
wrist pain,wisdom teeth impacted
agammaglobulinemia,xerosis
yeast infection vaginal,yersinia pestis
